Name,Module Name,Activity Type Name,Scheduled Days,Scheduled Start Time,Scheduled End Time,Duration,Scheduled Weeks,Allocated Location Name,Planned Size,Real Size,Allocated Staff Name
"BUSI1314/Tutorial/01-09 <3-7, 9-11>",BUSI1314/Business Ethics/A/GM,Tutorial,Thursday,13:00:00,14:00:00,01:00:00,"3-7, 9-11",QA239,28,28,IES8
"BUSI1314/Tutorial/01-09 <8, 12>",BUSI1314/Business Ethics/A/GM,Tutorial,Thursday,13:00:00,14:00:00,01:00:00,"8, 12",SL007,28,28,IES8
"BUSI1692/Lecture/01-2 (SB) <34-39, 41-45>",BUSI1692/International Entrepreneurship/C/GM,Lecture,Thursday,13:00:00,14:00:00,01:00:00,"34-39, 41-45",KW302 (LT),90,25,IES8
BUSI1692/Lecture/01-2 (SB) <40>,BUSI1692/International Entrepreneurship/C/GM,Lecture,Thursday,13:00:00,14:00:00,01:00:00,40,QA180 (LT),90,25,IES8

BUSI1315/Tutorial/01-10 (BABMG-506),BUSI1315/Management Practice 2/B/GM,Tutorial,Tuesday,12:00:00,13:00:00,01:00:00,19-30,10_B006 (IT Lab/Classroom),27,26,OSP12
BUSI1637/Tutorial/01-13 (SB),BUSI1637/Discover Project Management/A/GM,Tutorial,Tuesday,12:00:00,13:00:00,01:00:00,"3-12, 14",QM068,25,0,OSP12

BUSI1318/Presentation/01,BUSI1318/Advanced Project Mngt/A/GM,Presentation,Tuesday,10:00:00,14:00:00,04:00:00,14,SL109,23,23,IB12
BUSI1318/Workshop/01,BUSI1318/Advanced Project Mngt/A/GM,Workshop,Tuesday,09:00:00,11:00:00,02:00:00,3-13,SL109,23,23,IB12

BUSI1319/ITLab/01-05,BUSI1319/FYP: Consultancy Project/D/GM,ITLab,Wednesday,15:00:00,16:00:00,01:00:00,27,KW216 (IT Lab),15,17,BMOL2
BUSI1623/Lecture/01 (MALSCM),BUSI1623/Project Management/A/GM,Lecture,Wednesday,15:00:00,17:00:00,02:00:00,3-14,KW302 (LT),36,36,BMOL2

BUSI1319/ITLab/01-07,BUSI1319/FYP: Consultancy Project/D/GM,ITLab,Wednesday,14:00:00,15:00:00,01:00:00,27,D235 (IT Lab),12,8,IES16
BUSI1319/Tutorial/01-10 <03>,BUSI1319/FYP: Consultancy Project/D/GM,Tutorial,Wednesday,14:00:00,15:00:00,01:00:00,3,QM060,10,8,IES16
BUSI1319/Tutorial/01-10 <04-14>,BUSI1319/FYP: Consultancy Project/D/GM,Tutorial,Wednesday,14:00:00,15:00:00,01:00:00,4-14,SL109,10,8,IES16
BUSI1319/Tutorial/01-10 <19-30>,BUSI1319/FYP: Consultancy Project/D/GM,Tutorial,Wednesday,14:00:00,15:00:00,01:00:00,19-30,QM368,10,8,IES16

BUSI1319/Lecture/01 <11>,BUSI1319/FYP: Consultancy Project/D/GM,Lecture,Wednesday,13:00:00,14:00:00,01:00:00,11,KW303 (LT),130,130,IB12
"BUSI1319/Lecture/01 <3-4, 6-10, 12-14, 19-30>",BUSI1319/FYP: Consultancy Project/D/GM,Lecture,Wednesday,13:00:00,14:00:00,01:00:00,"3-4, 6-10, 12-14, 19-30",11_0004 (LT),130,130,IB12

BUSI1319/Tutorial/01-11 (BAIB-601) <03-14>,BUSI1319/FYP: Consultancy Project/D/GM,Tutorial,Wednesday,10:00:00,11:00:00,01:00:00,3-14,QA239,19,21,IB7
BUSI1319/Tutorial/01-11 (BAIB-601) <19-30>,BUSI1319/FYP: Consultancy Project/D/GM,Tutorial,Wednesday,10:00:00,11:00:00,01:00:00,19-30,QA175,19,21,IB7

BUSI1322/Tutorial/01-01 (SB),BUSI1322/Innovation in Action/A/GM,Tutorial,Wednesday,09:00:00,10:00:00,01:00:00,3-14,D165 (Classroom/IT),30,0,IES18
BUSI1326/Tutorial/01-05 (SB),BUSI1326/Fundamentals of Entrpreneurshi/A/GM,Tutorial,Wednesday,09:00:00,10:00:00,01:00:00,3-14,QM268,30,0,IES18

BUSI1324/Tutorial/01-03 (BABMK-604),BUSI1324/Managing Strategy/A/GM,Tutorial,Monday,13:00:00,15:00:00,02:00:00,3-14,QA220,31,31,OSP4
BUSI1819/Tutorial 01-06 (MAIB-S06),BUSI1819/International Busi' Simulation/B/GM,Tutorial,Monday,13:00:00,15:00:00,02:00:00,19-30,SL105,22,20,OSP4

"BUSI1324/Tutorial/01-04 (BABLTM-6, BABLSCM-6) <03-10>",BUSI1324/Managing Strategy/A/GM,Tutorial,Monday,14:00:00,16:00:00,02:00:00,3-10,QA239,29,29,OSP17
"BUSI1324/Tutorial/01-04 (BABLTM-6, BABLSCM-6) <11-14>",BUSI1324/Managing Strategy/A/GM,Tutorial,Monday,14:00:00,16:00:00,02:00:00,11-14,QM369,29,29,OSP17
OPER1027/Tutorial/01-11 (BABMK-502a) <19-30>,OPER1027/Operations Mngt/D/GM,Tutorial,Monday,14:00:00,15:00:00,01:00:00,19-30,QA038,22,22,OSP17

BUSI1324/Tutorial/01-05 (CDE),BUSI1324/Managing Strategy/A/GM,Tutorial,Wednesday,16:00:00,18:00:00,02:00:00,3-14,11_2017 (Seminar),31,31,SA10
RESE1170/Tutorial/01-11 <19-25>,RESE1170/Business Research Methods/B/GM,Tutorial,Wednesday,16:00:00,18:00:00,02:00:00,19-25,QA138,21,22,SA10
RESE1170/Tutorial/01-11 <30>,RESE1170/Business Research Methods/B/GM,Tutorial,Wednesday,16:00:00,18:00:00,02:00:00,30,11_2017 (Seminar),21,22,SA10

BUSI1324/Tutorial/01-14 (SB) <12>,BUSI1324/Managing Strategy/A/GM,Tutorial,Wednesday,14:00:00,16:00:00,02:00:00,12,QA044,30,0,OSP4
"BUSI1324/Tutorial/01-14 (SB) <3-11, 13-14>",BUSI1324/Managing Strategy/A/GM,Tutorial,Wednesday,13:00:00,15:00:00,02:00:00,"3-11, 13-14",11_2006 (Seminar),30,0,OSP4
BUSI1710/Tutorial/01-08 (MAIB-A204b),BUSI1710/International Business Project/U/GM,Tutorial,Wednesday,13:00:00,14:00:00,01:00:00,3-14,10_B004 (Classroom),13,13,OSP4
BUSI1819/Tutorial 01-03 (MAIB-S04),BUSI1819/International Busi' Simulation/B/GM,Tutorial,Wednesday,15:00:00,17:00:00,02:00:00,19-30,QA139,23,21,OSP4

"BUSI1326/Lecture/01-1 (BABEI-5, BABLTM-5, BABPSCM-5)",BUSI1326/Fundamentals of Entrpreneurshi/A/GM,Lecture,Tuesday,14:00:00,15:00:00,01:00:00,3-14,QA280 (LT),65,63,IES3
BUSI1741/Workshop/02  (BABMGLE-501),BUSI1741/Fundamentals of Entrepre/Innov/B/GM,Workshop,Tuesday,14:00:00,17:00:00,03:00:00,23-30,QA138,18,18,IES3

BUSI1327/Tutorial/01-05 (BABMG-510),BUSI1327/Innov in Competitive Environme/B/GM,Tutorial,Thursday,13:00:00,14:00:00,01:00:00,19-30,QM269,29,31,IES5
BUSI1692/Lecture/01-2 (MAIB-S),BUSI1692/International Entrepreneurship/A/GM,Lecture,Thursday,13:00:00,14:00:00,01:00:00,3-14,KW002 (LT),66,62,IES5

BUSI1591/Lecture/01 (MALSCM),"BUSI1591/Leadership, Prof Dev & Career/B/GM",Lecture,Wednesday,13:00:00,15:00:00,02:00:00,19-30,QA065 (LT),90,37,BMOL6
"BUSI1702/Lecture/01-1 (BAHRM-6, BABMG-6)",BUSI1702/Organisational Decision Making/A/GM,Lecture,Wednesday,14:00:00,15:00:00,01:00:00,3-14,KW303 (LT),180,177,BMOL6
BUSI1702/Tutorial/01-05 (BABMG-602),BUSI1702/Organisational Decision Making/A/GM,Tutorial,Wednesday,13:00:00,14:00:00,01:00:00,3-14,QA120,26,26,BMOL6

BUSI1604/Skills/01-1 (MAIB-J),BUSI1604/Fdns of Scholarship & Res/B/GM,Skills,Monday,13:00:00,14:00:00,01:00:00,19-30,QA280 (LT),90,103,IES15
BUSI1604/Skills/01-1 (MAIB-S),BUSI1604/Fdns of Scholarship & Res/A/GM,Skills,Monday,13:00:00,14:00:00,01:00:00,3-14,SL101 (LT),77,71,IES15

BUSI1604/Skills/01-2 (c),BUSI1604/Fdns of Scholarship & Res/B/GM,Skills,Wednesday,15:00:00,16:00:00,01:00:00,19-30,KW002 (LT),90,0,IES15
BUSI1604/Tutorial/01-09 <12>,BUSI1604/Fdns of Scholarship & Res/A/GM,Tutorial,Wednesday,14:00:00,16:00:00,02:00:00,12,D115 West (IT Lab/Classroom),12,12,IES15
"BUSI1604/Tutorial/01-09 <3, 5-11, 13>",BUSI1604/Fdns of Scholarship & Res/A/GM,Tutorial,Wednesday,14:00:00,16:00:00,02:00:00,"3, 5-11, 13",QA175,12,12,IES15
"BUSI1604/Tutorial/01-09 <4, 14>",BUSI1604/Fdns of Scholarship & Res/A/GM,Tutorial,Wednesday,14:00:00,16:00:00,02:00:00,"4, 14",QM060,12,12,IES15

BUSI1604/Tutorial/01-01,BUSI1604/Fdns of Scholarship & Res/A/GM,Tutorial,Wednesday,09:00:00,11:00:00,02:00:00,3-14,10_B004 (Classroom),13,12,BMOL8
BUSI1695/Tutorial/01-5 (BABMG-J402),BUSI1695/International Bus Environment/B/GM,Tutorial,Wednesday,10:00:00,11:00:00,01:00:00,19-30,QM169,30,23,BMOL8

BUSI1604/Tutorial/01-02 (MAIB-A101b),BUSI1604/Fdns of Scholarship & Res/C/GM,Tutorial,Wednesday,09:00:00,11:00:00,02:00:00,34-45,10_B004 (Classroom),15,17,IB6
BUSI1604/Tutorial/01-02 (MAIB-J01b),BUSI1604/Fdns of Scholarship & Res/B/GM,Tutorial,Wednesday,09:00:00,11:00:00,02:00:00,19-30,QM167,15,12,IB6

BUSI1604/Tutorial/01-03 (MAIB-A102b) <34-42>,BUSI1604/Fdns of Scholarship & Res/C/GM,Tutorial,Wednesday,09:00:00,11:00:00,02:00:00,34-42,SL109,15,17,IB10
BUSI1604/Tutorial/01-03 (MAIB-A102b) <43-44>,BUSI1604/Fdns of Scholarship & Res/C/GM,Tutorial,Wednesday,09:00:00,11:00:00,02:00:00,43-44,KW016,15,17,IB10
BUSI1604/Tutorial/01-03 (MAIB-A102b) <45>,BUSI1604/Fdns of Scholarship & Res/C/GM,Tutorial,Wednesday,09:00:00,11:00:00,02:00:00,45,QA010,15,17,IB10

"BUSI1604/Tutorial/01-04 (MAIB-A103a) <34-42, 45>",BUSI1604/Fdns of Scholarship & Res/C/GM,Tutorial,Wednesday,11:00:00,13:00:00,02:00:00,"34-42, 45",SL109,15,17,IES11
BUSI1604/Tutorial/01-04 (MAIB-A103a) <43-44>,BUSI1604/Fdns of Scholarship & Res/C/GM,Tutorial,Wednesday,11:00:00,13:00:00,02:00:00,43-44,QM167,15,17,IES11
BUSI1604/Tutorial/01-04 (MAIB-J03a),BUSI1604/Fdns of Scholarship & Res/B/GM,Tutorial,Wednesday,11:00:00,13:00:00,02:00:00,19-30,QM167,15,12,IES11

"BUSI1604/Tutorial/01-06 <03-07, 11-14>",BUSI1604/Fdns of Scholarship & Res/A/GM,Tutorial,Wednesday,09:00:00,11:00:00,02:00:00,"3-7, 11-14",QM068,11,10,BMOL3
BUSI1604/Tutorial/01-06 <08-10>,BUSI1604/Fdns of Scholarship & Res/A/GM,Tutorial,Wednesday,09:00:00,11:00:00,02:00:00,8-10,QM063,11,10,BMOL3
BUSI1628/Tutorial/01-5 (SB) <19-30>,BUSI1628/Managing Orgs & Indiv/G/GM,Tutorial,Wednesday,10:00:00,11:00:00,01:00:00,19-30,SL105,30,0,BMOL3

"BUSI1604/Tutorial/01-07 <03-04, 07>",BUSI1604/Fdns of Scholarship & Res/A/GM,Tutorial,Wednesday,14:00:00,16:00:00,02:00:00,"3-4, 7",QA063,12,10,BMOL20
"BUSI1604/Tutorial/01-07 <05-06, 09-14>",BUSI1604/Fdns of Scholarship & Res/A/GM,Tutorial,Wednesday,14:00:00,16:00:00,02:00:00,"5-6, 9-14",QA265,12,10,BMOL20
BUSI1604/Tutorial/01-07 <08>,BUSI1604/Fdns of Scholarship & Res/A/GM,Tutorial,Wednesday,14:00:00,16:00:00,02:00:00,8,QM060,12,10,BMOL20

BUSI1618/Tutorial/01-3 <19-22> (BAAF-303),BUSI1618/Introduction to Management/B/GM,Tutorial,Wednesday,11:00:00,12:00:00,01:00:00,19-22,QA020,20,21,IB5
BUSI1618/Tutorial/01-3 <23-30> (BAAF-303),BUSI1618/Introduction to Management/B/GM,Tutorial,Wednesday,11:00:00,12:00:00,01:00:00,23-30,QA044,20,21,IB5
INDU1033/Tutorial/01-02 (MAIB-A2) <03-06>,INDU1033/Managing Across Cultures/A/GM,Tutorial,Wednesday,10:00:00,12:00:00,02:00:00,3-6,QM168,38,38,IB5
INDU1033/Tutorial/01-02 (MAIB-A2) <07-14>,INDU1033/Managing Across Cultures/A/GM,Tutorial,Wednesday,10:00:00,12:00:00,02:00:00,7-14,QA274,38,38,IB5

BUSI1622/Lecture/01-1 (SB),BUSI1622/Dissertation (LOG+TPT)/J/GM,Lecture,Thursday,18:00:00,21:00:00,03:00:00,22-23,QA280 (LT),90,0,OSP1
BUSI1622/Lecture/01-2 (MALSCM),BUSI1622/Dissertation (LOG+TPT)/J/GM,Lecture,Thursday,16:00:00,19:00:00,03:00:00,22-23,KW016,36,36,OSP1

BUSI1624/Class Test/In-Class Test 01 (MALSCM),BUSI1624/Supply Chain Sim & Modelling/B/GM,Class Test,Friday,09:00:00,12:00:00,03:00:00,30,"QM446-ZB (IT Lab),QM446-ZC (IT Lab),QM446-ZD (IT Lab),QM446-ZE (IT Lab),QM446-ZF (IT Lab),QM446-ZG (IT Lab),QM446-ZH (IT Lab)",90,37,OSP9
BUSI1624/Lecture/01 (MALSCM),BUSI1624/Supply Chain Sim & Modelling/B/GM,Lecture,Friday,10:00:00,12:00:00,02:00:00,19-29,QA280 (LT),90,37,OSP9

"BUSI1628/Lecture/01 (BABMG-4J) <19-30, 34-39, 41-45>",BUSI1628/Managing Orgs & Indiv/G/GM,Lecture,Wednesday,09:00:00,10:00:00,01:00:00,"19-30, 34-39, 41-45",KW303 (LT),150,69,BMOL16
BUSI1628/Lecture/01 (BABMG-4J) <40>,BUSI1628/Managing Orgs & Indiv/G/GM,Lecture,Wednesday,09:00:00,10:00:00,01:00:00,40,11_0003 (LT),150,69,BMOL16

BUSI1628/Tutorial/01-1 <34-36>,BUSI1628/Managing Orgs & Indiv/G/GM,Tutorial,Wednesday,10:00:00,11:00:00,01:00:00,34-36,SL107,23,23,New Staff
BUSI1628/Tutorial/01-1 <37-43>,BUSI1628/Managing Orgs & Indiv/G/GM,Tutorial,Wednesday,10:00:00,11:00:00,01:00:00,37-43,D115 West (IT Lab/Classroom),30,23,New Staff
BUSI1628/Tutorial/01-1 <44-45>,BUSI1628/Managing Orgs & Indiv/G/GM,Tutorial,Wednesday,10:00:00,11:00:00,01:00:00,44-45,QM369,23,23,New Staff

